State,City,Suburb,DistanceToAvalon,DistanceToTullamarine,Attractions
Victoria,Geelong,Strathmore,75,80,"Strathmore Golf Club, local parks"
Victoria,Geelong,Sunbury,55,70,"Sunbury Lions Park, Sunbury Village"
Victoria,Geelong,Sunshine,45,50,"Sunshine Marketplace, local parks"
Victoria,Geelong,Surrey Hills,260,290,"Surrey Hills Park, local shops"
Victoria,Geelong,Sutherlands Creek,25,80,"Sutherlands Creek Bush Reserve, local parks"
Victoria,Geelong,Swan Bay,52,112,"Swan Bay, local wildlife, coastal scenery"
Victoria,Geelong,Swan Reach,300,360,"Swan Reach Reserve, local parks"
Victoria,Geelong,Sydenham,50,65,"Watergardens Shopping Centre, Sydenham Railway Station"
Victoria,Geelong,Tawonga,370,440,"Tawonga South, local parks"
Victoria,Geelong,Teesdale,35,95,"Teesdale Bushland Reserve, local parks, rural scenery"
Victoria,Geelong,Templestowe Lower,100,115,"Templestowe College, Yarra River Trail"
Victoria,Geelong,Templestowe,150,180,"Templestowe Village, local parks"
Victoria,Geelong,The Basin,95,110,"The Basin Community Park, Dandenong Ranges"
Victoria,Geelong,The Geelong Showgrounds,27,87,"Geelong Showgrounds, local events"
Victoria,Geelong,The Gurdies,290,340,"The Gurdies Wetlands, local parks"
Victoria,Geelong,The Hill,27,87,"Local schools, parks, residential areas"
Victoria,Geelong,Thomson,10,35,"Thomson Railway Station, Geelong Botanic Gardens"
Victoria,Geelong,Thornbury,230,260,"Thornbury Theatre, local parks"
Victoria,Geelong,Thredbo,390,460,"Thredbo Village, local parks"
Victoria,Geelong,Toorak,130,145,"Toorak Village, local cafes"
Victoria,Geelong,Torquay,40,100,"Bells Beach, Surf World Museum, Great Ocean Road"
Victoria,Geelong,Tottenham,60,75,"Tottenham Reserve, West Gate Bridge"
Victoria,Geelong,Travancore,85,100,"Travancore Park, Flemington Racecourse"
Victoria,Geelong,Truganina,250,280,"Truganina Park, local shops"
Victoria,Geelong,Tyabb,250,280,"Tyabb Airfield, local parks"
Victoria,Geelong,Upper Ferntree Gully,100,115,"Upper Ferntree Gully Railway Station, Dandenong Ranges"
Victoria,Geelong,Upper Murray,380,450,"Upper Murray River, local parks"
Victoria,Geelong,Valley View,120,130,"Valley View Estate, Black Hill Reserve"
Victoria,Geelong,Viewbank,100,115,"Viewbank Conservation Reserve, Banyule Flats"
Victoria,Geelong,Wallace,45,100,"Wallace Wineries, local parks, rural views"
Victoria,Geelong,Wallan,110,125,"Wallan Central Park, Mount Disappointment"
Victoria,Geelong,Wallington,30,90,"Wallington Orchard, local wineries, rural views"
Victoria,Geelong,Warragul,130,150,"Warragul Botanic Gardens, Mount Baw Baw"
Victoria,Geelong,Warrandyte,105,120,"Warrandyte State Park, Yarra River"
Victoria,Geelong,Waterways,50,65,"Waterways Wetlands, Braeside Park"
Victoria,Geelong,Watsonia,240,270,"Watsonia Park, local shops"
Victoria,Geelong,Waurn Ponds,15,70,"Waurn Ponds Shopping Centre, local parks, Deakin University"
Victoria,Geelong,Werribee,40,50,"Werribee Zoo, Werribee Mansion, local parks"
Victoria,Geelong,West Footscray,55,65,"Footscray Market, Maribyrnong River"
Victoria,Geelong,West Geelong,20,75,"Geelong Showgrounds, local cafes, residential areas"
Victoria,Geelong,West Melbourne,90,100,"Flagstaff Gardens, Queen Victoria Market"
Victoria,Geelong,West Richmond,90,100,"Richmond Park, Melbourne Zoo"
Victoria,Geelong,Wheelers Hill,85,100,"Wheelers Hill Park, Jells Park"
Victoria,Geelong,Whittington,10,55,"Whittington Reserve, local parks"
Victoria,Geelong,Whittlesea,160,190,"Whittlesea Agricultural Show, local parks"
Victoria,Geelong,Williamstown North,45,65,"Williamstown Gardens, Seaworks Maritime Museum"
Victoria,Geelong,Williamstown,220,250,"Williamstown Beach, local parks"
Victoria,Geelong,Windsor,130,150,"Windsor Shopping Centre, local parks"
Victoria,Geelong,Wodonga,210,230,"Wodonga Botanic Gardens, Lake Hume"
Victoria,Geelong,Wollert,90,120,"Aurora Village, local parks"
Victoria,Geelong,Wonga Park,260,290,"Wonga Park, local parks"
Victoria,Geelong,Yarraville,220,250,"Yarraville Gardens, local cafes"
Victoria,Geelong,Yuroke,65,80,"Yuroke Nature Reserve, Sunbury Road"
Victoria,Geelong,Zeehan,150,170,"Zeehan Park, West Coast Heritage Centre"
